Hindi,English
हम ,We
था ,Was
वह ,He
पर ,But
हूँ ,am
रहे ,are
भी ,Too
रहा ,Stayed
का ,Of
अपने ,Our
कुछ ,Some
तो ,So
गया ,Went
इस ,This
मेरे ,My
ठीक ,Correct
करने ,Do
किया ,Did
साथ ,Together
उसे ,Him
हाँ ,Yes
वे ,They
सकते ,Can
लेकिन ,But
यहाँ ,Here
तुम्हें ,You
कोई ,Any
तरह ,Kind
अब ,Now
पता ,Address
होगा ,Will happen
बहुत ,Very
बात ,Talk
सकता ,Can
जाओ ,Go
ही ,Sole
दिया ,Gave
करना ,Doing
जा ,Go
मेरी ,My
सब ,All
बारे ,About
लगता ,Festive
कहा ,Said
जो ,Who
वहाँ ,There
जब ,When
इसे ,This
अच्छा ,Good
चाहिए ,Needed
बाहर ,Outside
करो ,Do
क्यों ,Why
अपनी ,Own
थे ,Were
चलो ,Let us go
दो ,Two
ले ,Take
किसी ,Any 
फिर ,Then
काम ,Work
अगर ,If
ये ,These
कैसे ,How
करते ,Do
पहले ,Earlier
बस ,Bus
चाहते ,Want
जाएगा ,Will go
आदमी ,Man
कभी ,Sometimes
समय ,Time
वापस ,Back
हमें ,Us
रही ,doing
आ ,Come
तक ,As far as
हमारे,Our
मेरा ,My
रूप ,Form
मैंने ,I
करता ,Do
या ,Or
अभी ,Now
मिल ,Mill
चाहता ,Want
घर ,Home
उसके ,His
सभी ,All
उस ,That
मत ,Don't
आपको ,To you
जाना ,Go
अरे ,Hey